"縣市","行政區域","納稅單位","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"台北市","北投區八仙里",1793,1809165,1009,652,373,1194,1254.48,124.33
"台北市","北投區大同里",1955,2050977,1049,645,354,1244,1747.86,166.61
"台北市","北投區大屯里",348,552738,1588,570,356,1031,6782.11,427
"台北市","北投區稻香里",1585,1380653,871,629,366,1049,982.39,112.78
"台北市","北投區東華里",1479,1524558,1031,683,377,1296,1165.23,113.04
"台北市","北投區豐年里",1391,1121646,806,579,344,1061,736.07,91.28
"台北市","北投區福興里",2292,2258273,985,680,385,1261,1078.87,109.5
"台北市","北投區關渡里",3470,3359742,968,641,370,1145,1245.73,128.66
"台北市","北投區湖山里",509,649695,1276,625,344,1123,5965,467.32
"台北市","北投區湖田里",254,281815,1110,567,320,1152,3084.22,277.98
"台北市","北投區吉利里",2205,2268409,1029,703,395,1327,1159.25,112.68
"台北市","北投區吉慶里",1683,1690728,1005,704,388,1271,1146.91,114.17
"台北市","北投區建民里",1366,1549323,1134,683,384,1323,1630.51,143.76
"台北市","北投區開明里",2143,2534570,1183,645,384,1238,3691.37,312.11
"台北市","北投區立農里",2894,2815807,973,674,377,1252,1058.56,108.8
"台北市","北投區立賢里",1790,1649556,922,625,352,1200,956.89,103.84
"台北市","北投區林泉里",1025,980746,957,635,361,1150,1774.52,185.46
"台北市","北投區奇岩里",3157,3783105,1198,676,371,1319,2652.68,221.37
"台北市","北投區清江里",2572,2260814,879,593,344,1053,1352.35,153.85
"台北市","北投區泉源里",663,669069,1009,563,353,1038,3077.55,304.96
"台北市","北投區榮光里",2281,2192620,961,689,382,1211,1030.64,107.22
"台北市","北投區榮華里",2749,4343752,1580,807,419,1610,6459.57,408.8
"台北市","北投區石牌里",1868,1771179,948,659,376,1218,893.92,94.28
"台北市","北投區桃源里",1967,1768862,899,604,367,1133,1036.08,115.21
"台北市","北投區溫泉里",2258,2224680,985,641,363,1201,1191.9,120.97
"台北市","北投區文化里",1388,1466859,1057,785,411,1445,942.11,89.15
"台北市","北投區文林里",1491,1654970,1110,702,387,1332,1544.65,139.16
"台北市","北投區秀山里",1004,834544,831,596,351,1047,839.55,101
"台北市","北投區一德里",2216,2076838,937,603,346,1100,1299.25,138.63
"台北市","北投區永和里",3104,4860122,1566,792,415,1588,5112.16,326.5
"台北市","北投區永明里",1571,1825322,1162,759,434,1430,1450.03,124.8
"台北市","北投區永欣里",2908,5404671,1859,1007,463,2234,3332.11,179.28
"台北市","北投區裕民里",2661,3346108,1257,731,394,1390,1986.17,157.95
"台北市","北投區長安里",1929,1760853,913,612,356,1097,1163.98,127.51
"台北市","北投區振華里",2713,2964259,1093,697,372,1365,1482.21,135.66
"台北市","北投區智仁里",1882,1621472,862,646,381,1097,751.19,87.19
"台北市","北投區中和里",1685,1708636,1014,659,380,1212,1255.26,123.79
"台北市","北投區中心里",2104,2282949,1085,641,350,1275,2025.15,186.64
"台北市","北投區中央里",2824,2927350,1037,655,363,1243,1400.77,135.13
"台北市","北投區中庸里",1391,1261188,907,598,343,1079,1604.95,177.01
"台北市","北投區洲美里",604,454037,752,541,327,936,718.68,95.61
"台北市","北投區尊賢里",1536,1419224,924,652,374,1175,975.73,105.6
"台北市","大安區昌隆里",1234,1759081,1426,767,380,1665,3417.83,239.76
"台北市","大安區車層里",2466,4439443,1800,859,400,1866,5121.13,284.47
"台北市","大安區誠安里",1588,2502650,1576,723,354,1365,16989.76,1078.05
"台北市","大安區大學里",3128,4666653,1492,910,435,1784,2371.4,158.95
"台北市","大安區德安里",2084,3620447,1737,828,408,1802,3759.27,216.39
"台北市","大安區敦安里",2370,4659733,1966,935,434,1913,5181.98,263.56
"台北市","大安區敦煌里",2301,3751304,1630,894,403,1824,3203.16,196.48
"台北市","大安區法治里",1647,2130165,1293,761,415,1480,1981.52,153.21
"台北市","大安區芳和里",1987,2223842,1119,716,389,1362,1614.84,144.29
"台北市","大安區福住里",2266,4501722,1987,1011,470,2012,6887.04,346.67
"台北市","大安區古風里",1546,2357138,1525,842,414,1743,3275.48,214.83
"台北市","大安區古莊里",2578,3558975,1381,842,433,1672,2702.65,195.77
"台北市","大安區光明里",1228,2567805,2091,1040,498,2086,9344.82,446.9
"台北市","大安區光武里",2874,4207070,1464,776,378,1534,4436.79,303.09
"台北市","大安區光信里",2785,4555542,1636,808,427,1628,4264.97,260.74
"台北市","大安區和安里",2406,8514453,3539,962,451,1944,37146.9,1049.69
"台北市","大安區虎嘯里",1414,2244424,1587,809,411,1604,6396.19,402.96
"台北市","大安區華聲里",1574,2519561,1601,791,393,1605,6751.35,421.76
"台北市","大安區建安里",2001,3214070,1606,811,389,1682,3677.67,228.96
"台北市","大安區建倫里",2365,5414841,2290,878,407,1989,12494.5,545.71
"台北市","大安區錦安里",2166,3895691,1799,993,448,2011,3631.16,201.89
"台北市","大安區錦華里",1956,3020696,1544,1001,492,1911,3708.7,240.15
"台北市","大安區錦泰里",1293,2125681,1644,909,424,1869,8567.92,521.17
"台北市","大安區黎和里",1647,1802314,1094,723,414,1356,1394.9,127.47
"台北市","大安區黎孝里",2701,2720417,1007,693,381,1292,1084.04,107.63
"台北市","大安區黎元里",1752,1473704,841,627,366,1086,841.24,100.01
"台北市","大安區臨江里",1334,1249356,937,635,362,1165,1006.8,107.5
"台北市","大安區龍安里",2272,5009389,2205,1007,459,2059,11321.02,513.46
"台北市","大安區龍門里",1590,3106831,1954,1002,461,2038,5279.62,270.2
"台北市","大安區龍坡里",2091,3234044,1547,962,464,1959,2131.67,137.82
"台北市","大安區龍泉里",1770,2489606,1407,878,427,1716,3013.84,214.27
"台北市","大安區龍生里",2386,3758451,1575,966,473,1931,2447.52,155.38
"台北市","大安區龍圖里",2539,3861970,1521,862,400,1740,2634.18,173.18
"台北市","大安區龍淵里",3201,4674280,1460,955,458,1914,2058.27,140.95
"台北市","大安區龍雲里",1804,3608062,2000,863,406,1830,13812.75,690.63
"台北市","大安區龍陣里",1334,2088590,1566,883,439,1680,3698.58,236.23
"台北市","大安區民輝里",2625,6674720,2543,912,400,1962,10642.91,418.56
"台北市","大安區民炤里",3093,6478511,2095,950,430,1979,10574.77,504.87
"台北市","大安區全安里",1732,3610668,2085,824,412,1772,8517.2,408.56
"台北市","大安區群賢里",2284,3667523,1606,787,390,1624,4981.34,310.22
"台北市","大安區群英里",2544,3058405,1202,769,399,1580,2226.69,185.22
"台北市","大安區仁愛里",2180,5370677,2464,927,408,2038,11380.37,461.94
"台北市","大安區仁慈里",1956,4595389,2349,946,460,2075,15268.53,649.9
"台北市","大安區通安里",1965,2298640,1170,683,384,1353,1970.57,168.45
"台北市","大安區通化里",2108,2377210,1128,646,359,1260,2487.54,220.58
"台北市","大安區臥龍里",683,981413,1437,778,391,1601,3776.67,262.83
"台北市","大安區新龍里",2388,3186160,1334,849,403,1729,1731.89,129.8
"台北市","大安區學府里",771,906610,1176,713,385,1479,1283.43,109.15
"台北市","大安區義安里",2087,4559378,2185,900,424,2014,7083.57,324.24
"台北市","大安區義村里",2222,2754884,1240,721,367,1454,2868.28,231.35
"台北市","大安區永康里",1338,1952415,1459,813,409,1677,2338.18,160.24
"台北市","大安區正聲里",1859,3235909,1741,840,393,1830,5307.89,304.93
"台北市","大安區住安里",1781,2476542,1391,734,402,1442,3556.6,255.77
"台北市","大同區保安里",1300,1529940,1177,632,350,1110,4894.2,415.86
"台北市","大同區朝陽里",1443,1625148,1126,636,327,1160,2455.04,217.99
"台北市","大同區大有里",1724,1660354,963,586,323,1128,1442.35,149.76
"台北市","大同區光能里",1687,1550407,919,609,335,1106,1287.44,140.09
"台北市","大同區國慶里",1498,1558027,1040,671,373,1288,1363.09,131.06
"台北市","大同區國順里",787,537182,683,520,305,898,583.9,85.54
"台北市","大同區建功里",1480,1405811,950,633,347,1129,1479.46,155.75
"台北市","大同區建明里",1234,1560224,1264,601,346,1189,4101.73,324.41
"台北市","大同區建泰里",1327,1398636,1054,673,370,1235,1424.27,135.13
"台北市","大同區景星里",764,571322,748,542,337,931,690.73,92.37
"台北市","大同區老師里",2283.5,1867670,819.5,592,349.5,1016,886.11,107.985
"台北市","大同區鄰江里",2030,1621259,799,559,343,965,871.06,109.07
"台北市","大同區隆和里",941,846497,900,583,331,1049,1214.26,134.98
"台北市","大同區民權里",2109,2286845,1084,709,367,1307,1799.93,166
"台北市","大同區南芳里",1302,1130770,868,597,336,1071,992.63,114.29
"台北市","大同區蓬萊里",1686,1707058,1012,604,343,1126,1646.52,162.62
"台北市","大同區雙連里",3019,2686454,890,614,339,1110,1153.44,129.62
"台北市","大同區斯文里",1655,1565658,946,568,325,1036,2638.17,278.87
"台北市","大同區星明里",1960,2144102,1094,675,361,1274,2136.68,195.32
"台北市","大同區延平里",1292,1320979,1022,581,324,1126,2367.52,231.56
"台北市","大同區揚雅里",1134,1094525,965,586,352,1044,1702.11,176.35
"台北市","大同區永樂里",1983,2920836,1473,641,348,1204,9450.45,641.61
"台北市","大同區玉泉里",1069,1133755,1061,644,369,1237,1482.33,139.77
"台北市","大同區至聖里",2730,2592560,950,586,339,1100,1987.25,209.26
"台北市","大同區重慶里",2293,2387796,1041,675,383,1271,1465.51,140.73
"台北市","南港區百福里",1755,1468090,837,605,359,1047,835.92,99.93
"台北市","南港區成福里",2593,2376858,917,636,380,1169,956.43,104.34
"台北市","南港區東明里",1770,2023518,1143,725,394,1356,1410.3,123.36
"台北市","南港區東新里",2358,2146408,910,635,360,1142,1138.97,125.13
"台北市","南港區合成里",2311,2715570,1175,680,381,1225,2324.57,197.83
"台北市","南港區鴻福里",1615,1633293,1011,691,389,1232,1217.44,120.38
"台北市","南港區九如里",1995,1756959,881,625,362,1102,910.29,103.36
"台北市","南港區舊莊里",1698,1460515,860,586,347,1037,992.03,115.33
"台北市","南港區聯成里",1732,1506686,870,620,360,1119,799.04,91.85
"台北市","南港區南港里",1967,2033448,1034,646,372,1165,4404.54,426.06
"台北市","南港區仁福里",1822,1766602,970,676,400,1292,894.83,92.29
"台北市","南港區三重里",2083,3530611,1695,834,416,1778,6431.88,379.47
"台北市","南港區萬福里",1482,1430219,965,655,363,1186,1219.71,126.39
