"行政區域","縣市名稱","Ym","city","gen_sum"
"北投區八仙里","台北市",10509,"台北市",2334947
"北投區八仙里","台北市",10501,"台北市",1311227
"北投區八仙里","台北市",10503,"台北市",1431672
"北投區八仙里","台北市",10507,"台北市",2701547
"北投區八仙里","台北市",10511,"台北市",1604514
"北投區八仙里","台北市",10505,"台北市",1753943
"北投區大同里","台北市",10503,"台北市",1403895
"北投區大同里","台北市",10509,"台北市",2363249
"北投區大同里","台北市",10505,"台北市",1623241
"北投區大同里","台北市",10511,"台北市",1584852
"北投區大同里","台北市",10507,"台北市",2559222
"北投區大同里","台北市",10501,"台北市",1262675
"北投區大屯里","台北市",10503,"台北市",406458
"北投區大屯里","台北市",10511,"台北市",372556
"北投區大屯里","台北市",10501,"台北市",340265
"北投區大屯里","台北市",10509,"台北市",411298
"北投區大屯里","台北市",10507,"台北市",431862
"北投區大屯里","台北市",10505,"台北市",363313
"北投區稻香里","台北市",10501,"台北市",920190
"北投區稻香里","台北市",10503,"台北市",1098759
"北投區稻香里","台北市",10505,"台北市",1108475
"北投區稻香里","台北市",10509,"台北市",1597952
"北投區稻香里","台北市",10511,"台北市",1104893
"北投區稻香里","台北市",10507,"台北市",1760482
"北投區東華里","台北市",10503,"台北市",893605
"北投區東華里","台北市",10511,"台北市",938183
"北投區東華里","台北市",10507,"台北市",1607170
"北投區東華里","台北市",10501,"台北市",947596
"北投區東華里","台北市",10509,"台北市",1304217
"北投區東華里","台北市",10505,"台北市",1148457
"北投區豐年里","台北市",10503,"台北市",964510
"北投區豐年里","台北市",10501,"台北市",831956
"北投區豐年里","台北市",10511,"台北市",1037740
"北投區豐年里","台北市",10505,"台北市",1110549
"北投區豐年里","台北市",10507,"台北市",1726318
"北投區豐年里","台北市",10509,"台北市",1542577
"北投區福興里","台北市",10505,"台北市",1693792
"北投區福興里","台北市",10509,"台北市",2285339
"北投區福興里","台北市",10501,"台北市",1255403
"北投區福興里","台北市",10503,"台北市",1461643
"北投區福興里","台北市",10511,"台北市",1476856
"北投區福興里","台北市",10507,"台北市",2722037
"北投區關渡里","台北市",10507,"台北市",4133364
