ID,Country,Area_En,Area_TW,Live electricity consumption,Industrial electricity consumption,Total electricity consumption,capita,Live electricity consumption per capita,Industrial electricity consumption per capita,Total electricity consumption per capita,Live percent,Industrial percent,Equal interval allrank,Quantile allrank
W,TWN,Kinmen County,金門縣,"228,000,756 ","32,596,066 ","260,596,822 ","135,816 ",1678.75 ,240.00 ,1918.75 ,87.5%,12.5%,1,3 
19,JPN,Kanagawa,神奈川県,"18,511,607,010 ","29,970,411,089 ","48,482,018,099 ","8,986,000 ",2060.05 ,3335.23 ,5395.28 ,38.2%,61.8%,2,4 
35,JPN,Saitama,埼玉県,"15,323,721,189 ","22,510,870,050 ","37,834,591,239 ","7,169,000 ",2137.50 ,3140.03 ,5277.53 ,40.5%,59.5%,2,4 
4,JPN,Chiba,千葉県,"13,181,532,452 ","22,617,349,960 ","35,798,882,412 ","6,137,000 ",2147.88 ,3685.41 ,5833.29 ,36.8%,63.2%,2,4 
41,JPN,Tokyo,東京都,"31,150,597,212 ","46,697,386,731 ","77,847,983,943 ","13,207,000 ",2358.64 ,3535.81 ,5894.45 ,40.0%,60.0%,2,4 
33,JPN,Osaka,大阪府,"20,557,966,000 ","35,650,293,406 ","56,208,259,406 ","8,672,000 ",2370.61 ,4110.97 ,6481.58 ,36.6%,63.4%,2,5 
24,JPN,Miyagi,宮城県,"5,545,090,000 ","8,796,854,000 ","14,341,944,000 ","2,314,000 ",2396.32 ,3801.58 ,6197.90 ,38.7%,61.3%,2,5 
1,JPN,Aichi,愛知県,"17,788,958,000 ","41,086,036,000 ","58,874,994,000 ","7,324,000 ",2428.86 ,5609.78 ,8038.64 ,30.2%,69.8%,3,6 
13,JPN,Hyogo,兵庫県,"13,295,517,000 ","25,436,880,680 ","38,732,397,680 ","5,438,000 ",2444.93 ,4677.62 ,7122.54 ,34.3%,65.7%,2,5 
14,JPN,Ibaraki,茨城県,"7,021,248,133 ","17,692,759,445 ","24,714,007,578 ","2,861,000 ",2454.12 ,6184.12 ,8638.24 ,28.4%,71.6%,3,6 
8,JPN,Fukushima,福島県,"4,656,410,000 ","10,309,472,000 ","14,965,882,000 ","1,891,000 ",2462.41 ,5451.86 ,7914.27 ,31.1%,68.9%,2,6 
3,JPN,Aomori,青森県,"3,182,501,000 ","5,508,866,000 ","8,691,367,000 ","1,290,000 ",2467.06 ,4270.44 ,6737.49 ,36.6%,63.4%,2,5 
28,JPN,Nara,奈良県,"3,333,695,000 ","3,698,592,000 ","7,032,287,000 ","1,347,000 ",2474.90 ,2745.80 ,5220.70 ,47.4%,52.6%,2,4 
38,JPN,Shizuoka,静岡県,"9,104,676,698 ","20,478,414,226 ","29,583,090,924 ","3,623,000 ",2513.02 ,5652.34 ,8165.36 ,30.8%,69.2%,3,6 
29,JPN,Niigata,新潟県,"5,731,760,000 ","11,105,845,000 ","16,837,605,000 ","2,273,000 ",2521.67 ,4885.99 ,7407.66 ,34.0%,66.0%,2,6 
7,JPN,Fukuoka,福岡県,"12,771,204,586 ","18,612,434,000 ","31,383,638,586 ","5,054,000 ",2526.95 ,3682.71 ,6209.66 ,40.7%,59.3%,2,5 
39,JPN,Tochigi,栃木県,"4,919,869,483 ","11,468,729,119 ","16,388,598,602 ","1,939,000 ",2537.32 ,5914.76 ,8452.09 ,30.0%,70.0%,3,6 
10,JPN,Gunma,群馬県,"4,922,657,622 ","10,996,485,201 ","15,919,142,823 ","1,926,000 ",2555.90 ,5709.49 ,8265.39 ,30.9%,69.1%,3,6 
12,JPN,Hokkaido,北海道,"13,618,441,000 ","16,217,279,000 ","29,835,720,000 ","5,327,000 ",2556.49 ,3044.35 ,5600.85 ,45.6%,54.4%,2,4 
21,JPN,Kumamoto,熊本県,"4,523,292,570 ","6,423,375,000 ","10,946,667,570 ","1,765,000 ",2562.77 ,3639.31 ,6202.08 ,41.3%,58.7%,2,5 
16,JPN,Iwate,岩手県,"3,250,489,000 ","5,303,748,000 ","8,554,237,000 ","1,263,000 ",2573.63 ,4199.33 ,6772.95 ,38.0%,62.0%,2,5 
2,JPN,Akita,秋田県,"2,593,936,000 ","4,690,971,000 ","7,284,907,000 ","1,007,000 ",2575.90 ,4658.36 ,7234.27 ,35.6%,64.4%,2,5 
45,JPN,Yamagata,山形県,"2,855,665,000 ","5,166,229,000 ","8,021,894,000 ","1,107,000 ",2579.64 ,4666.87 ,7246.52 ,35.6%,64.4%,2,5 
22,JPN,Kyoto,京都府,"6,641,255,000 ","9,121,302,241 ","15,762,557,241 ","2,559,000 ",2595.25 ,3564.40 ,6159.66 ,42.1%,57.9%,2,5 
36,JPN,Shiga,滋賀県,"3,642,421,000 ","9,595,130,649 ","13,237,551,649 ","1,392,000 ",2616.68 ,6893.05 ,9509.74 ,27.5%,72.5%,3,7 
9,JPN,Gifu,岐阜県,"5,256,744,000 ","9,952,271,000 ","15,209,015,000 ","1,985,000 ",2648.23 ,5013.74 ,7661.97 ,34.6%,65.4%,2,6 
27,JPN,Naoasaki,長崎県,"3,618,290,575 ","4,283,569,000 ","7,901,859,575 ","1,358,000 ",2664.43 ,3154.32 ,5818.75 ,45.8%,54.2%,2,4 
23,JPN,Mie,三重県,"4,787,987,000 ","13,545,875,000 ","18,333,862,000 ","1,775,000 ",2697.46 ,7631.48 ,10328.94 ,26.1%,73.9%,3,7 
47,JPN,Yamanashi,山梨県,"2,208,615,337 ","3,670,496,376 ","5,879,111,713 ","818,000 ",2700.02 ,4487.16 ,7187.18 ,37.6%,62.4%,2,5 
11,JPN,Hiroshima,広島県,"7,581,624,536 ","12,782,121,000 ","20,363,745,536 ","2,799,000 ",2708.69 ,4566.67 ,7275.36 ,37.2%,62.8%,2,5 
26,JPN,Nagano,長野県,"5,600,292,000 ","9,559,572,000 ","15,159,864,000 ","2,060,000 ",2718.59 ,4640.57 ,7359.16 ,36.9%,63.1%,2,5 
18,JPN,Kagoshima,鹿児島県,"4,435,284,000 ","5,525,166,000 ","9,960,450,000 ","1,630,000 ",2721.03 ,3389.67 ,6110.71 ,44.5%,55.5%,2,5 
