縣市,鄉鎮,地區,設有戶籍宅數(宅).x,設有戶籍宅數之平均人口數(人),1人一宅宅數(宅),1人一宅宅數比例(%),2人一宅宅數(宅),2人一宅宅數比例(%),3人一宅宅數(宅),3人一宅宅數比例(%),4人一宅宅數(宅),4人一宅宅數比例(%),5人一宅宅數(宅),5人一宅宅數比例(%),6人以上一宅宅數(宅),6人以上一宅宅數比例(%),設有戶籍宅數(宅).y,設有戶籍宅數之平均戶數(戶),1戶一宅(宅),1戶一宅比例(%),2戶一宅(宅),2戶一宅比例(%),3戶一宅(宅),3戶一宅比例(%),4戶一宅(宅),4戶一宅比例(%),5戶一宅(宅),5戶一宅比例(%),6戶以上一宅(宅),6戶以上一宅比例(%),總戶長數(人).x,戶長平均年齡(歲),25(含)歲以下戶長數(人),25(含)歲以下戶長數比例(%),25-35(含)歲戶長數(人),25-35(含)歲戶長數比例(%),35-45(含)歲戶長數(人),35-45(含)歲戶長數比例(%),45-55(含)歲戶長數(人),45-55(含)歲戶長數比例(%),55-65(含)歲戶長數(人),55-65(含)歲戶長數比例(%),65歲以上戶長數(人),65歲以上戶長數比例(%),總戶長數(人).y,每戶平均老年人口數(人),無老年人口戶數(戶),無老年人口戶數比例(%),一位老年人口戶數(戶),一位老年人口戶數比例(%),二位老年人口戶數(戶),二位老年人口戶數比例(%),三位以上老年人口戶數(戶),三位以上老年人口戶數比例(%),僅老年人口居住宅數(宅),一名老年人口宅數(宅),一名老年人口宅數比例(%),二名老年人口宅數(宅),二名老年人口宅數比例(%),三名以上老年人口宅數(宅),三名以上老年人口宅數比例(%),總戶長數(人),有偶(人),有偶比例(%),離婚(人),離婚比例(%),喪偶(人),喪偶比例(%),婚姻關係消滅(人),婚姻關係消滅比例(%),未婚(人),未婚比例(%),其他(人),其他比例(%)
臺北市,松山區,三民里,2315,3.09,631,0.273 ,461 ,0.199 ,405 ,0.175 ,326 ,0.141 ,198 ,0.086 ,294 ,0.127 ,2315 ,1.260 ,1829 ,0.790 ,385 ,0.166 ,87 ,0.038 ,14 ,0.006 ,0 ,0.000 ,0 ,0.000 ,2915 ,56.260 ,50 ,0.017 ,197 ,0.068 ,514 ,0.176 ,673 ,0.231 ,657 ,0.225 ,824 ,0.283 ,2915 ,0.440 ,1907 ,0.654 ,745 ,0.256 ,248 ,0.085 ,15 ,0.005 ,241 ,172 ,0.714 ,62 ,0.257 ,7 ,0.029 ,2915 ,1838 ,0.631 ,315 ,0.108 ,289 ,0.099 ,0 ,0.000 ,473 ,0.162 ,0.000 ,0 
臺北市,松山區,中正里,2787,3.89,582,0.209 ,421 ,0.151 ,460 ,0.165 ,432 ,0.155 ,260 ,0.093 ,632 ,0.227 ,2787 ,1.410 ,1921 ,0.689 ,634 ,0.228 ,197 ,0.071 ,29 ,0.010 ,6 ,0.002 ,0 ,0.000 ,3923 ,52.310 ,60 ,0.015 ,308 ,0.079 ,1036 ,0.264 ,1017 ,0.259 ,776 ,0.198 ,726 ,0.185 ,3924 ,0.290 ,3020 ,0.770 ,664 ,0.169 ,232 ,0.059 ,8 ,0.002 ,166 ,130 ,0.783 ,31 ,0.187 ,5 ,0.030 ,3923 ,2749 ,0.701 ,365 ,0.093 ,250 ,0.064 ,1 ,0.000 ,558 ,0.142 ,0.000 ,0 
臺北市,松山區,中崙里,1268,3.65,331,0.261 ,203 ,0.160 ,183 ,0.144 ,175 ,0.138 ,106 ,0.084 ,270 ,0.213 ,1268 ,1.360 ,920 ,0.726 ,251 ,0.198 ,86 ,0.068 ,11 ,0.009 ,0 ,0.000 ,0 ,0.000 ,1724 ,53.000 ,24 ,0.014 ,148 ,0.086 ,419 ,0.243 ,452 ,0.262 ,336 ,0.195 ,345 ,0.200 ,1723 ,0.300 ,1305 ,0.757 ,316 ,0.183 ,100 ,0.058 ,2 ,0.001 ,94 ,78 ,0.830 ,16 ,0.170 ,0 ,0.000 ,1724 ,1150 ,0.667 ,162 ,0.094 ,127 ,0.074 ,2 ,0.001 ,283 ,0.164 ,0.000 ,0 
臺北市,松山區,中華里,1832,3.71,366,0.200 ,310 ,0.169 ,317 ,0.173 ,317 ,0.173 ,164 ,0.090 ,358 ,0.195 ,1832 ,1.380 ,1293 ,0.706 ,413 ,0.225 ,105 ,0.057 ,18 ,0.010 ,2 ,0.001 ,1 ,0.001 ,2521 ,55.670 ,32 ,0.013 ,164 ,0.065 ,482 ,0.191 ,626 ,0.248 ,583 ,0.231 ,634 ,0.252 ,2522 ,0.400 ,1751 ,0.694 ,545 ,0.216 ,213 ,0.085 ,13 ,0.005 ,172 ,117 ,0.680 ,49 ,0.285 ,6 ,0.035 ,2521 ,1829 ,0.726 ,192 ,0.076 ,198 ,0.079 ,0 ,0.000 ,302 ,0.120 ,0.000 ,0 
臺北市,松山區,介壽里,1264,3.85,229,0.181 ,187 ,0.148 ,234 ,0.185 ,210 ,0.166 ,138 ,0.109 ,266 ,0.210 ,1264 ,1.400 ,868 ,0.687 ,307 ,0.243 ,75 ,0.059 ,13 ,0.010 ,0 ,0.000 ,1 ,0.001 ,1766 ,55.740 ,23 ,0.013 ,109 ,0.062 ,378 ,0.214 ,399 ,0.226 ,373 ,0.211 ,484 ,0.274 ,1765 ,0.430 ,1197 ,0.678 ,400 ,0.227 ,159 ,0.090 ,9 ,0.005 ,94 ,68 ,0.723 ,25 ,0.266 ,1 ,0.011 ,1766 ,1277 ,0.723 ,124 ,0.070 ,169 ,0.096 ,0 ,0.000 ,196 ,0.111 ,0.000 ,0 
臺北市,松山區,民有里,2898,3.11,713,0.246 ,572 ,0.197 ,547 ,0.189 ,483 ,0.167 ,255 ,0.088 ,328 ,0.113 ,2898 ,1.190 ,2425 ,0.837 ,409 ,0.141 ,57 ,0.020 ,6 ,0.002 ,0 ,0.000 ,1 ,0.000 ,3445 ,56.590 ,58 ,0.017 ,242 ,0.070 ,511 ,0.148 ,724 ,0.210 ,964 ,0.280 ,946 ,0.275 ,3443 ,0.450 ,2264 ,0.658 ,841 ,0.244 ,316 ,0.092 ,22 ,0.006 ,235 ,176 ,0.749 ,56 ,0.238 ,3 ,0.013 ,3445 ,2290 ,0.665 ,277 ,0.080 ,273 ,0.079 ,0 ,0.000 ,605 ,0.176 ,0.000 ,0 
臺北市,松山區,民福里,2131,3.1,582,0.273 ,417 ,0.196 ,355 ,0.167 ,315 ,0.148 ,186 ,0.087 ,276 ,0.130 ,2131 ,1.230 ,1713 ,0.804 ,350 ,0.164 ,59 ,0.028 ,8 ,0.004 ,1 ,0.001 ,0 ,0.000 ,2627 ,56.430 ,40 ,0.015 ,189 ,0.072 ,438 ,0.167 ,567 ,0.216 ,708 ,0.270 ,685 ,0.261 ,2625 ,0.410 ,1763 ,0.672 ,671 ,0.256 ,176 ,0.067 ,15 ,0.006 ,174 ,127 ,0.730 ,43 ,0.247 ,4 ,0.023 ,2627 ,1614 ,0.614 ,277 ,0.105 ,276 ,0.105 ,0 ,0.000 ,460 ,0.175 ,0.000 ,0 
臺北市,松山區,吉仁里,1138,3.78,229,0.201 ,181 ,0.159 ,177 ,0.156 ,194 ,0.171 ,119 ,0.105 ,238 ,0.209 ,1138 ,1.370 ,813 ,0.714 ,243 ,0.214 ,73 ,0.064 ,6 ,0.005 ,2 ,0.002 ,1 ,0.001 ,1557 ,55.290 ,26 ,0.017 ,108 ,0.069 ,325 ,0.209 ,358 ,0.230 ,354 ,0.227 ,386 ,0.248 ,1558 ,0.390 ,1082 ,0.695 ,355 ,0.228 ,109 ,0.070 ,12 ,0.008 ,95 ,70 ,0.737 ,24 ,0.253 ,1 ,0.011 ,1557 ,1073 ,0.689 ,120 ,0.077 ,141 ,0.091 ,0 ,0.000 ,223 ,0.143 ,0.000 ,0 
臺北市,松山區,吉祥里,2796,3.13,756,0.270 ,509 ,0.182 ,508 ,0.182 ,444 ,0.159 ,245 ,0.088 ,334 ,0.120 ,2796 ,1.220 ,2278 ,0.815 ,419 ,0.150 ,93 ,0.033 ,6 ,0.002 ,0 ,0.000 ,0 ,0.000 ,3416 ,55.590 ,59 ,0.017 ,272 ,0.080 ,554 ,0.162 ,773 ,0.226 ,944 ,0.276 ,814 ,0.238 ,3418 ,0.380 ,2409 ,0.705 ,733 ,0.215 ,264 ,0.077 ,12 ,0.004 ,200 ,141 ,0.705 ,53 ,0.265 ,6 ,0.030 ,3416 ,2309 ,0.676 ,303 ,0.089 ,268 ,0.079 ,0 ,0.000 ,536 ,0.157 ,0.000 ,0 
臺北市,松山區,安平里,2786,3.13,914,0.328 ,462 ,0.166 ,433 ,0.155 ,338 ,0.121 ,245 ,0.088 ,394 ,0.141 ,2786 ,1.270 ,2183 ,0.784 ,487 ,0.175 ,94 ,0.034 ,14 ,0.005 ,6 ,0.002 ,2 ,0.001 ,3537 ,55.000 ,66 ,0.019 ,350 ,0.099 ,604 ,0.171 ,821 ,0.232 ,836 ,0.236 ,860 ,0.243 ,3537 ,0.360 ,2505 ,0.708 ,809 ,0.229 ,209 ,0.059 ,14 ,0.004 ,252 ,201 ,0.798 ,43 ,0.171 ,8 ,0.032 ,3537 ,2098 ,0.593 ,375 ,0.106 ,387 ,0.109 ,2 ,0.001 ,675 ,0.191 ,0.000 ,0 
