"縣市名稱","行政區域"
"彰化縣","彰化市文化里"
"彰化縣","彰化市下廍里"
"彰化縣","彰化市興北里"
"彰化縣","彰化市信義里"
"彰化縣","彰化市民生里"
"彰化縣","彰化市陽明里"
"彰化縣","彰化市萬安里"
"彰化縣","彰化市新興里"
"彰化縣","彰化市新華里"
"彰化縣","彰化市龍山里"
"彰化縣","彰化市中山里"
"彰化縣","彰化市中正里"
"彰化縣","彰化市永福里"
"彰化縣","彰化市光復里"
"彰化縣","彰化市光華里"
"彰化縣","彰化市萬壽里"
"彰化縣","彰化市中央里"
"彰化縣","彰化市富貴里"
"彰化縣","彰化市民權里"
"彰化縣","彰化市西興里"
"彰化縣","彰化市西勢里"
"彰化縣","彰化市忠孝里"
"彰化縣","彰化市忠權里"
"彰化縣","彰化市五權里"
"彰化縣","彰化市長樂里"
"彰化縣","彰化市東芳里"
"彰化縣","彰化市南安里"
"彰化縣","彰化市南美里"
"彰化縣","彰化市莿桐里"
"彰化縣","彰化市磚磘里"
"彰化縣","彰化市平和里"
"彰化縣","彰化市桃源里"
"彰化縣","彰化市卦山里"
"彰化縣","彰化市東興里"
"彰化縣","彰化市大同里"
"彰化縣","彰化市永生里"
"彰化縣","彰化市華陽里"
"彰化縣","彰化市華北里"
"彰化縣","彰化市南瑤里"
"彰化縣","彰化市成功里"
"彰化縣","彰化市延和里"
"彰化縣","彰化市南興里"
"彰化縣","彰化市西安里"
"彰化縣","彰化市彰安里"
"彰化縣","彰化市光南里"
"彰化縣","彰化市介壽里"
"彰化縣","彰化市延平里"
"彰化縣","彰化市建寶里"
"彰化縣","彰化市福安里"
"彰化縣","彰化市大竹里"
"彰化縣","彰化市竹中里"
"彰化縣","彰化市安溪里"
"彰化縣","彰化市香山里"
"彰化縣","彰化市牛埔里"
"彰化縣","彰化市福山里"
"彰化縣","彰化市中庄里"
"彰化縣","彰化市三村里"
"彰化縣","彰化市國聖里"
"彰化縣","彰化市寶廍里"
"彰化縣","彰化市茄苳里"
"彰化縣","彰化市茄南里"
"彰化縣","彰化市阿夷里"
"彰化縣","彰化市古夷里"
"彰化縣","彰化市復興里"
"彰化縣","彰化市和調里"
"彰化縣","彰化市石牌里"
"彰化縣","彰化市福田里"
"彰化縣","彰化市竹巷里"
"彰化縣","彰化市田中里"
"彰化縣","彰化市快官里"
"彰化縣","彰化市台鳳里"
"彰化縣","彰化市崙平里"
"彰化縣","彰化市向陽里"
"彰化縣","鹿港鎮大有里"
"彰化縣","鹿港鎮中興里"
"彰化縣","鹿港鎮洛津里"
"彰化縣","鹿港鎮順興里"
"彰化縣","鹿港鎮頂厝里"
"彰化縣","鹿港鎮東崎里"
"彰化縣","鹿港鎮埔崙里"
"彰化縣","鹿港鎮東石里"
"彰化縣","鹿港鎮郭厝里"
"彰化縣","鹿港鎮新宮里"
"彰化縣","鹿港鎮玉順里"
"彰化縣","鹿港鎮景福里"
"彰化縣","鹿港鎮泰興里"
"彰化縣","鹿港鎮長興里"
"彰化縣","鹿港鎮龍山里"
"彰化縣","鹿港鎮興化里"
"彰化縣","鹿港鎮菜園里"
"彰化縣","鹿港鎮街尾里"
"彰化縣","鹿港鎮頂番里"
"彰化縣","鹿港鎮頭崙里"
"彰化縣","鹿港鎮廖厝里"
"彰化縣","鹿港鎮溝墘里"
"彰化縣","鹿港鎮草中里"
"彰化縣","鹿港鎮頭南里"
"彰化縣","鹿港鎮山崙里"
"彰化縣","鹿港鎮海埔里"
"彰化縣","鹿港鎮詔安里"
"彰化縣","鹿港鎮洋厝里"
"彰化縣","鹿港鎮永安里"
"彰化縣","和美鎮竹營里"
"彰化縣","和美鎮和東里"
"彰化縣","和美鎮和南里"
"彰化縣","和美鎮和北里"
"彰化縣","和美鎮和西里"
"彰化縣","和美鎮四張里"
"彰化縣","和美鎮頭前里"
"彰化縣","和美鎮還社里"
"彰化縣","和美鎮面前里"
"彰化縣","和美鎮鎮平里"
"彰化縣","和美鎮大霞里"
"彰化縣","和美鎮源埤里"
"彰化縣","和美鎮南佃里"
"彰化縣","和美鎮雅溝里"
"彰化縣","和美鎮山犁里"
"彰化縣","和美鎮嘉犁里"
"彰化縣","和美鎮鐵山里"
"彰化縣","和美鎮詔安里"
"彰化縣","和美鎮柑井里"
"彰化縣","和美鎮竹園里"
"彰化縣","和美鎮新庄里"
"彰化縣","和美鎮犁盛里"
"彰化縣","和美鎮中寮里"
"彰化縣","和美鎮中圍里"
"彰化縣","和美鎮糖友里"
"彰化縣","和美鎮塗厝里"
"彰化縣","和美鎮地潭里"
"彰化縣","和美鎮湖內里"
"彰化縣","和美鎮嘉寶里"
"彰化縣","和美鎮月眉里"
"彰化縣","和美鎮好修里"
"彰化縣","和美鎮仁愛里"
"彰化縣","線西鄉線西村"
"彰化縣","線西鄉頂庄村"
"彰化縣","線西鄉寓埔村"
"彰化縣","線西鄉塭仔村"
"彰化縣","線西鄉溝內村"
"彰化縣","線西鄉下犁村"
"彰化縣","線西鄉頂犁村"
"彰化縣","線西鄉德興村"
"彰化縣","伸港鄉曾家村"
"彰化縣","伸港鄉蚵寮村"
"彰化縣","伸港鄉埤墘村"
"彰化縣","伸港鄉溪底村"
"彰化縣","伸港鄉泉州村"
"彰化縣","伸港鄉泉厝村"
"彰化縣","伸港鄉海尾村"
"彰化縣","伸港鄉全興村"
"彰化縣","伸港鄉定興村"
"彰化縣","伸港鄉新港村"
"彰化縣","伸港鄉什股村"
"彰化縣","伸港鄉大同村"
"彰化縣","伸港鄉七嘉村"
"彰化縣","伸港鄉汴頭村"
"彰化縣","福興鄉番社村"
"彰化縣","福興鄉社尾村"
"彰化縣","福興鄉大崙村"
