"市","行政區域","商家數"
"臺北市","北投區八仙里",1
"臺北市","北投區大同里",1
"臺北市","北投區稻香里",1
"臺北市","北投區東華里",1
"臺北市","北投區關渡里",1
"臺北市","北投區湖山里",1
"臺北市","北投區湖田里",1
"臺北市","北投區吉慶里",1
"臺北市","北投區建民里",1
"臺北市","北投區開明里",1
"臺北市","北投區立農里",1
"臺北市","北投區立賢里",1
"臺北市","北投區林泉里",1
"臺北市","北投區奇岩里",1
"臺北市","北投區清江里",1
"臺北市","北投區泉源里",1
"臺北市","北投區榮華里",1
"臺北市","北投區石牌里",1
"臺北市","北投區桃源里",1
"臺北市","北投區溫泉里",1
"臺北市","北投區文林里",1
"臺北市","北投區秀山里",1
"臺北市","北投區一德里",1
"臺北市","北投區永和里",1
"臺北市","北投區永欣里",1
"臺北市","北投區裕民里",1
"臺北市","北投區長安里",1
"臺北市","北投區振華里",1
"臺北市","北投區智仁里",1
"臺北市","北投區中心里",1
"臺北市","北投區中央里",1
"臺北市","北投區中庸里",1
"臺北市","北投區洲美里",1
"臺北市","北投區尊賢里",1
"臺北市","大安區車層里",1
"臺北市","大安區誠安里",1
"臺北市","大安區德安里",1
"臺北市","大安區芳和里",1
"臺北市","大安區福住里",1
"臺北市","大安區古風里",1
"臺北市","大安區古莊里",1
"臺北市","大安區光明里",1
"臺北市","大安區光武里",1
"臺北市","大安區光信里",1
"臺北市","大安區虎嘯里",1
"臺北市","大安區華聲里",1
"臺北市","大安區建安里",1
"臺北市","大安區錦安里",1
"臺北市","大安區錦泰里",1
"臺北市","大安區黎和里",1
"臺北市","大安區臨江里",1
"臺北市","大安區龍安里",1
"臺北市","大安區龍坡里",1
"臺北市","大安區龍泉里",1
"臺北市","大安區龍生里",1
"臺北市","大安區龍圖里",1
"臺北市","大安區民輝里",1
"臺北市","大安區群賢里",1
"臺北市","大安區仁慈里",1
"臺北市","大安區通安里",1
"臺北市","大安區通化里",1
"臺北市","大安區臥龍里",1
"臺北市","大安區新龍里",1
"臺北市","大安區義安里",1
"臺北市","大安區義村里",1
"臺北市","大同區保安里",1
"臺北市","大同區朝陽里",1
"臺北市","大同區大有里",1
"臺北市","大同區光能里",1
"臺北市","大同區國慶里",1
"臺北市","大同區建功里",1
"臺北市","大同區建明里",1
"臺北市","大同區建泰里",1
"臺北市","大同區老師里",1
"臺北市","大同區隆和里",1
"臺北市","大同區民權里",1
"臺北市","大同區南芳里",1
"臺北市","大同區蓬萊里",1
"臺北市","大同區雙連里",1
"臺北市","大同區斯文里",1
"臺北市","大同區星明里",1
"臺北市","大同區延平里",1
"臺北市","大同區永樂里",1
"臺北市","大同區玉泉里",1
"臺北市","大同區至聖里",1
"臺北市","大同區重慶里",1
"臺北市","南港區百福里",1
"臺北市","南港區成福里",1
"臺北市","南港區東明里",1
"臺北市","南港區東新里",1
"臺北市","南港區合成里",1
"臺北市","南港區九如里",1
"臺北市","南港區舊莊里",1
"臺北市","南港區聯成里",1
"臺北市","南港區南港里",1
"臺北市","南港區三重里",1
"臺北市","南港區萬福里",1
"臺北市","南港區西新里",1
"臺北市","南港區新光里",1
"臺北市","南港區玉成里",1
"臺北市","南港區中南里",1
"臺北市","南港區中研里",1
"臺北市","南港區重陽里",1
"臺北市","內湖區安泰里",1
"臺北市","內湖區寶湖里",1
"臺北市","內湖區大湖里",1
"臺北市","內湖區東湖里",1
"臺北市","內湖區港富里",1
"臺北市","內湖區港華里",1
"臺北市","內湖區港墘里",1
"臺北市","內湖區湖濱里",1
"臺北市","內湖區湖元里",1
"臺北市","內湖區金龍里",1
"臺北市","內湖區蘆洲里",1
"臺北市","內湖區明湖里",1
"臺北市","內湖區內湖里",1
"臺北市","內湖區清白里",1
"臺北市","內湖區石潭里",1
"臺北市","內湖區五分里",1
"臺北市","內湖區西安里",1
"臺北市","內湖區西湖里",1
"臺北市","內湖區西康里",1
"臺北市","內湖區行善里",1
"臺北市","內湖區秀湖里",1
"臺北市","內湖區週美里",1
"臺北市","內湖區紫星里",1
"臺北市","內湖區紫陽里",1
"臺北市","士林區翠山里",1
"臺北市","士林區德行里",1
"臺北市","士林區東山里",1
"臺北市","士林區福安里",1
"臺北市","士林區福德里",1
"臺北市","士林區福佳里",1
