"里","n","med","mean"
"北投區八仙里",392,429322.314049587,432675.215044696
"北投區大同里",104,491839.669421488,500539.637635092
"北投區大屯里",4,672604.958677686,752833.884297521
"北投區稻香里",45,334423.140495868,322766.868686869
"北投區東華里",32,553861.157024793,560174.276859504
"北投區豐年里",207,180634.710743802,234132.007825288
"北投區福興里",57,493166.94214876,498093.257938234
"北投區關渡里",150,379254.545454545,387939.680440771
"北投區湖山里",10,352932.231404959,400814.876033058
"北投區湖田里",4,69793.3884297521,179457.851239669
"北投區吉利里",49,536409.917355372,552955.506830832
"北投區吉慶里",40,644090.909090909,652688.429752066
"北投區建民里",35,466439.669421488,469248.736717828
"北投區開明里",81,362568.595041322,363518.987858382
"北投區立農里",88,509300.826446281,503640.195341848
"北投區立賢里",58,493302.479338843,519172.983756056
"北投區林泉里",93,323851.239669422,402594.756953701
"北投區奇岩里",162,609656.198347108,596233.017039078
"北投區清江里",150,440970.247933884,450519.889807163
"北投區泉源里",3,405388.429752066,340112.396694215
"北投區榮光里",51,552416.52892562,588336.152973586
"北投區榮華里",105,565966.94214876,563983.848878394
"北投區石牌里",55,567689.256198347,556072.006010518
"北投區桃源里",88,388558.67768595,369419.947407964
"北投區溫泉里",69,389570.247933884,427129.237034375
"北投區文化里",27,386776.859504132,375377.288031833
"北投區文林里",59,547682.644628099,602705.532987813
"北投區秀山里",19,338152.066115703,436486.472379295
"北投區一德里",92,398409.917355372,381818.828602228
"北投區永和里",173,445765.289256198,470536.588162232
"北投區永明里",26,555945.454545455,522895.867768595
"北投區永欣里",140,517548.760330579,555301.770956316
"北投區裕民里",104,636403.305785124,631595.994914177
"北投區長安里",142,431553.719008264,427311.395646607
"北投區振華里",44,529419.834710744,597406.987227648
"北投區智仁里",62,383026.446280992,392735.857104772
"北投區中和里",47,402006.611570248,410405.908211711
"北投區中心里",201,377398.347107438,401043.624850952
"北投區中央里",77,533633.05785124,569295.696039498
"北投區中庸里",47,407282.644628099,437145.27870582
"北投區尊賢里",28,467542.148760331,485930.578512397
"大安區昌隆里",58,786669.421487603,887186.719863209
"大安區車層里",78,933214.876033058,1014193.60033905
"大安區誠安里",42,743932.231404959,769268.476977568
"大安區大學里",63,753140.495867769,767143.486816214
"大安區德安里",52,962566.94214876,1090484.80610299
"大安區敦安里",81,899788.429752066,909038.057341088
"大安區敦煌里",50,855512.396694215,886314.247933884
"大安區法治里",50,730525.619834711,776781.355371901
"大安區芳和里",45,630667.768595041,674381.707988981
"大安區福住里",65,967580.165289256,939915.321042594
"大安區古風里",40,841264.462809917,842269.173553719
"大安區古莊里",75,873252.892561984,903486.148760331
"大安區光明里",24,898816.52892562,863230.027548209
"大安區光武里",119,900029.752066116,990518.924925342
"大安區光信里",90,815798.347107438,851402.093663912
"大安區和安里",68,875155.371900826,893335.537190083
"大安區虎嘯里",18,754396.694214876,784596.143250689
"大安區華聲里",43,849071.074380165,856798.231789352
"大安區建安里",101,899411.570247934,925895.491367319
"大安區建倫里",58,935669.421487603,974857.908235965
"大安區錦安里",76,776938.842975207,763207.916485428
"大安區錦華里",39,797662.809917355,761592.286501377
"大安區錦泰里",23,905328.925619835,861560.043118936
"大安區黎和里",24,612338.842975207,615398.484848485
"大安區黎孝里",72,547340.495867769,539581.772268136
"大安區黎元里",39,554747.107438017,553398.686162323
"大安區臨江里",45,629001.652892562,656821.377410468
"大安區龍安里",64,854132.231404959,859526.084710744
"大安區龍門里",42,818482.644628099,739817.473435655
"大安區龍坡里",47,767649.586776859,770415.333216107
"大安區龍泉里",41,712700.826446281,723242.330175368
"大安區龍生里",38,772500.826446281,709773.814702044
"大安區龍圖里",48,752566.94214876,749415.771349862
"大安區龍淵里",59,812304.132231405,837581.958257459
"大安區龍雲里",99,820733.884297521,871902.763168879
"大安區龍陣里",37,783623.140495868,840551.708733527
"大安區民輝里",69,821375.20661157,845012.097257157
"大安區民炤里",52,931403.305785124,917351.366815003
"大安區全安里",59,757180.165289256,706108.754727553
"大安區群賢里",76,709352.066115703,770423.357981731
"大安區群英里",64,664833.05785124,639268.646694215
"大安區仁愛里",81,954634.710743802,938632.547699214
"大安區仁慈里",101,850013.223140496,862027.00270027
"大安區通安里",58,728396.694214876,792653.17754346
"大安區通化里",104,741842.975206612,762994.755244755
"大安區臥龍里",27,748082.644628099,688967.860422406
"大安區新龍里",52,713603.305785124,774552.256834075
"大安區學府里",3,815342.148760331,789594.490358127
"大安區義安里",71,915788.429752066,890652.776161099
"大安區義村里",23,808039.669421488,832545.598275243
"大安區永康里",32,879158.67768595,862229.648760331
"大安區正聲里",48,910289.256198347,913620.523415978
"大安區住安里",33,839980.165289256,759188.379664413
"大同區保安里",35,499867.768595041,548972.089728453
"大同區朝陽里",41,509788.429752066,509718.201975408
"大同區大有里",31,444555.371900826,479547.853905625
"大同區光能里",63,645388.429752066,672758.651449561
"大同區國慶里",30,481350.413223141,460587.878787879
"大同區國順里",20,473231.404958678,507416.033057851
"大同區建功里",119,537831.404958678,558770.775748316
"大同區建明里",47,573381.818181818,568582.591876209
"大同區建泰里",44,540609.917355372,554528.474830954
"大同區景星里",16,447135.537190083,435123.140495868
"大同區老師里",42,401861.157024793,403642.424242424
"大同區鄰江里",48,461606.611570248,438983.884297521
"大同區隆和里",23,472720.661157025,555338.699245419
"大同區民權里",64,576424.79338843,602023.657024793
"大同區南芳里",54,512552.066115703,521051.790633609
"大同區蓬萊里",66,467540.495867769,498415.176558978
"大同區雙連里",96,514072.727272727,549994.76584022
"大同區斯文里",73,500152.066115703,490609.441865731
"大同區星明里",94,525249.58677686,572155.477404607
"大同區延平里",73,498360.330578512,590508.094645081
"大同區揚雅里",41,508009.917355372,476376.214472889
"大同區永樂里",88,496560.330578512,527526.746806912
"大同區玉泉里",27,404968.595041322,404485.705540251
"大同區至聖里",107,553904.132231405,545009.87101259
"大同區重慶里",42,468953.719008264,484009.602518693
"南港區百福里",36,505449.586776859,514322.865013774
"南港區成福里",108,568363.636363636,572412.825221916
"南港區東明里",38,509583.47107438,541142.235754676
"南港區東新里",111,542757.024793388,531599.791527064
"南港區合成里",64,605573.553719008,607258.161157025
"南港區鴻福里",27,495712.396694215,474695.806550352
"南港區九如里",59,351011.570247934,369912.256618574
"南港區舊莊里",59,343401.652892562,347893.318391932
"南港區聯成里",38,544740.495867769,560052.892561983
"南港區南港里",46,555292.561983471,508493.352497305
"南港區仁福里",58,414229.752066116,415252.664576803
