"countyname","townname","villname","region","X__2"
"臺北市","萬華區","保德里","萬華區保德里",1313
"臺北市","大安區","住安里","大安區住安里",383
"臺北市","南港區","舊莊里","南港區舊莊里",2877
"臺北市","中山區","新喜里","中山區新喜里",1245
"臺北市","內湖區","內溝里","內湖區內溝里",3375
"臺北市","內湖區","碧山里","內湖區碧山里",3358
"臺北市","北投區","中庸里","北投區中庸里",1697
"臺北市","大安區","新龍里","大安區新龍里",618
"臺北市","萬華區","忠貞里","萬華區忠貞里",0
"臺北市","大安區","全安里","大安區全安里",1170
"臺北市","萬華區","新和里","萬華區新和里",1079
"臺北市","大安區","虎嘯里","大安區虎嘯里",1117
"臺北市","大安區","福住里","大安區福住里",213
"臺北市","大安區","敦安里","大安區敦安里",1397
"臺北市","松山區","復勢里","松山區復勢里",1093
"臺北市","松山區","東勢里","松山區東勢里",2371
"臺北市","中山區","復華里","中山區復華里",368
"臺北市","中山區","康樂里","中山區康樂里",209
"臺北市","松山區","三民里","松山區三民里",1914
"臺北市","松山區","新益里","松山區新益里",1800
"臺北市","士林區","富光里","士林區富光里",0
"臺北市","士林區","葫蘆里","士林區葫蘆里",1447
"臺北市","士林區","福中里","士林區福中里",3720
"臺北市","士林區","三玉里","士林區三玉里",1534
"臺北市","北投區","稻香里","北投區稻香里",2763
"臺北市","士林區","溪山里","士林區溪山里",0
"臺北市","北投區","湖山里","北投區湖山里",3014
"臺北市","中山區","行仁里","中山區行仁里",189
"臺北市","文山區","指南里","文山區指南里",4296
"臺北市","文山區","興業里","文山區興業里",411
"臺北市","文山區","興邦里","文山區興邦里",4350
"臺北市","中正區","水源里","中正區水源里",443
"臺北市","中正區","頂東里","中正區頂東里",1606
"臺北市","大安區","法治里","大安區法治里",1319
"臺北市","南港區","九如里","南港區九如里",905
"臺北市","萬華區","富民里","萬華區富民里",1250
"臺北市","信義區","興隆里","信義區興隆里",1471
"臺北市","南港區","仁福里","南港區仁福里",2621
"臺北市","信義區","四維里","信義區四維里",2049
"臺北市","大同區","朝陽里","大同區朝陽里",338
"臺北市","松山區","富錦里","松山區富錦里",106
"臺北市","大同區","南芳里","大同區南芳里",0
"臺北市","中山區","新福里","中山區新福里",3854
"臺北市","中山區","恆安里","中山區恆安里",290
"臺北市","中山區","晴光里","中山區晴光里",453
"臺北市","內湖區","五分里","內湖區五分里",495
"臺北市","中山區","新庄里","中山區新庄里",1432
"臺北市","中山區","永安里","中山區永安里",651
"臺北市","士林區","福順里","士林區福順里",2037
"臺北市","士林區","葫東里","士林區葫東里",547
"臺北市","內湖區","港富里","內湖區港富里",626
"臺北市","士林區","社園里","士林區社園里",1340
"臺北市","士林區","永倫里","士林區永倫里",938
"臺北市","士林區","福佳里","士林區福佳里",126
"臺北市","士林區","舊佳里","士林區舊佳里",2096
"臺北市","士林區","福志里","士林區福志里",2064
"臺北市","士林區","德華里","士林區德華里",1559
"臺北市","北投區","石牌里","北投區石牌里",1988
"臺北市","北投區","榮光里","北投區榮光里",1475
"臺北市","士林區","天祿里","士林區天祿里",2802
"臺北市","北投區","立農里","北投區立農里",1062
"臺北市","北投區","東華里","北投區東華里",1131
"臺北市","北投區","智仁里","北投區智仁里",2495
"臺北市","北投區","開明里","北投區開明里",1890
"臺北市","北投區","秀山里","北投區秀山里",0
"臺北市","大安區","臨江里","大安區臨江里",1813
"臺北市","大安區","龍陣里","大安區龍陣里",3149
"臺北市","中正區","忠勤里","中正區忠勤里",1514
"臺北市","大安區","龍安里","大安區龍安里",1560
"臺北市","中山區","朱馥里","中山區朱馥里",1045
"臺北市","大同區","斯文里","大同區斯文里",944
"臺北市","大同區","揚雅里","大同區揚雅里",2984
"臺北市","中山區","江山里","中山區江山里",1176
"臺北市","中正區","龍興里","中正區龍興里",0
"臺北市","大安區","龍雲里","大安區龍雲里",0
"臺北市","大同區","至聖里","大同區至聖里",471
"臺北市","大安區","永康里","大安區永康里",2131
"臺北市","大安區","龍淵里","大安區龍淵里",2983
"臺北市","大安區","誠安里","大安區誠安里",761
"臺北市","松山區","復源里","松山區復源里",4040
"臺北市","松山區","復建里","松山區復建里",2580
"臺北市","中山區","朱崙里","中山區朱崙里",2084
"臺北市","信義區","中興里","信義區中興里",658
"臺北市","大安區","古莊里","大安區古莊里",1249
"臺北市","中正區","新營里","中正區新營里",1213
"臺北市","中正區","龍福里","中正區龍福里",518
"臺北市","信義區","五常里","信義區五常里",2718
"臺北市","萬華區","和德里","萬華區和德里",1254
"臺北市","信義區","雅祥里","信義區雅祥里",1454
"臺北市","中正區","永昌里","中正區永昌里",1567
"臺北市","中正區","永功里","中正區永功里",3335
"臺北市","信義區","西村里","信義區西村里",2
"臺北市","萬華區","日善里","萬華區日善里",4362
"臺北市","中正區","南福里","中正區南福里",1121
"臺北市","萬華區","新安里","萬華區新安里",4051
"臺北市","文山區","木新里","文山區木新里",3342
"臺北市","大安區","錦華里","大安區錦華里",211
"臺北市","文山區","樟文里","文山區樟文里",1414
"臺北市","文山區","試院里","文山區試院里",2576
"臺北市","中正區","龍光里","中正區龍光里",0
"臺北市","文山區","樟樹里","文山區樟樹里",3835
"臺北市","文山區","順興里","文山區順興里",319
"臺北市","文山區","忠順里","文山區忠順里",1239
"臺北市","文山區","樟林里","文山區樟林里",2442
"臺北市","大安區","錦泰里","大安區錦泰里",4467
"臺北市","文山區","樟新里","文山區樟新里",2729
"臺北市","文山區","老泉里","文山區老泉里",0
"臺北市","文山區","樟腳里","文山區樟腳里",601
"臺北市","文山區","明義里","文山區明義里",3812
"臺北市","萬華區","和平里","萬華區和平里",1524
"臺北市","文山區","景行里","文山區景行里",371
