"","統計年月","縣市","行政區域","戶數","總人數","人口數","青少年人口","壯年人口","老年人口"
"1",10407,"臺北市","北投區八仙里",2107,5724,5724,801,4282,641
"2",10407,"臺北市","北投區大同里",2366,6288,6288,897,4662,729
"3",10407,"臺北市","北投區大屯里",428,1253,1253,171,892,190
"4",10407,"臺北市","北投區稻香里",2031,5282,5282,631,4009,642
"5",10407,"臺北市","北投區東華里",1606,4688,4688,753,3368,567
"6",10407,"臺北市","北投區豐年里",1723,4943,4943,896,3472,575
"7",10407,"臺北市","北投區福興里",2661,7608,7608,1413,5385,810
"8",10407,"臺北市","北投區關渡里",4189,11912,11912,1701,8734,1477
"9",10407,"臺北市","北投區湖山里",705,1825,1825,182,1280,363
"10",10407,"臺北市","北投區湖田里",391,1047,1047,109,782,156
"11",10407,"臺北市","北投區吉利里",2555,7583,7583,1571,5169,843
"12",10407,"臺北市","北投區吉慶里",1972,5773,5773,1152,3978,643
"13",10407,"臺北市","北投區建民里",1690,4462,4462,570,3215,677
"14",10407,"臺北市","北投區開明里",2571,6793,6793,784,5098,911
"15",10407,"臺北市","北投區立農里",3394,9717,9717,1788,7019,910
"16",10407,"臺北市","北投區立賢里",2071,5957,5957,1173,4167,617
"17",10407,"臺北市","北投區林泉里",1548,3585,3585,394,2646,545
"18",10407,"臺北市","北投區奇岩里",3571,9952,9952,1236,7504,1212
"19",10407,"臺北市","北投區清江里",4126,9843,9843,1187,7369,1287
"20",10407,"臺北市","北投區泉源里",845,2444,2444,240,1840,364
"21",10407,"臺北市","北投區榮光里",2802,8148,8148,1712,5527,909
"22",10407,"臺北市","北投區榮華里",2969,7928,7928,1133,5731,1064
"23",10407,"臺北市","北投區石牌里",2103,5729,5729,824,4189,716
"24",10407,"臺北市","北投區桃源里",2312,6323,6323,822,4878,623
"25",10407,"臺北市","北投區溫泉里",2784,7046,7046,903,5193,950
"26",10407,"臺北市","北投區文化里",1689,4604,4604,872,3186,546
"27",10407,"臺北市","北投區文林里",1658,4447,4447,597,3200,650
"28",10407,"臺北市","北投區秀山里",1239,3497,3497,440,2515,542
"29",10407,"臺北市","北投區一德里",2768,7705,7705,1188,5738,779
"30",10407,"臺北市","北投區永和里",3654,9656,9656,1509,7012,1135
"31",10407,"臺北市","北投區永明里",1868,5274,5274,1039,3655,580
"32",10407,"臺北市","北投區永欣里",3342,8191,8191,1321,5818,1052
"33",10407,"臺北市","北投區裕民里",3051,8014,8014,1156,5883,975
"34",10407,"臺北市","北投區長安里",2626,6434,6434,901,4740,793
"35",10407,"臺北市","北投區振華里",2904,8153,8153,1228,5779,1146
"36",10407,"臺北市","北投區智仁里",2319,6650,6650,1072,4774,804
"37",10407,"臺北市","北投區中和里",1958,5278,5278,700,3779,799
