Park_No,District_Name,Li_Name,Park_Name,Location,Land area(Ping),WGS84_X,WGS84_Y,TWD97_X
松20公,松山區,復盛里,復盛公園(前名捐地公園),市民大道五段99號、八德路4段106巷,8136,121.561467,25.047484,306651.5594
松374公,松山區,安平里,安平公園,南京東路5段251巷32弄8號旁,468,121.564491,25.053021,306956.0859
松307公,松山區,鵬程里,鵬程公園,健康路325巷 6弄底,4045,121.568667,25.055519,307376.2466
松238公,松山區,民有里,民有三號公園,民生東路3段127巷14號前,1108,121.547616,25.058622,305250.8856
松237公,松山區,民有里,民有二號公園,民生東路3段113巷14號前,938,121.546315,25.059641,305119.1255
松236公,松山區,民有里,民有一號公園,敦化北路244巷31號前,1542,121.547396,25.060772,305227.6849
松230公,松山區,敦化里,敦化公園,八德路3段12巷52弄2之1號旁,1810,121.550485,25.046408,305545.8083
松167公,松山區,吉祥里,吉祥公園,八德路4段245巷52弄至56弄間,1873,121.564049,25.050533,306912.623
松162公,松山區,復源里,復源公園,光復南路22巷至32巷間,1724,121.554478,25.046492,305948.6685
松160公,松山區,吉仁里,吉仁公園,八德路3段、延吉街口,997,121.553482,25.047813,305847.6313
松159公,松山區,美仁里,美仁二號公園,八德路3段99巷12~18號前,1343,121.553422,25.049495,305840.8106
松158公,松山區,美仁里,美仁一號公園,南京東路4段52巷14號前,1499,121.553459,25.050147,305844.2185
松157公,松山區,復勢里,寧安公園,寧安街50巷、育達商職第二校區前,2856,121.554872,25.050354,305986.7159
松146公,松山區,中崙里,八德公園,八德路2段366巷21之1號前,1520,121.545711,25.04693,305063.8877
松145公,松山區,中正里,敦中公園,敦化北路4巷31號旁,2421,121.54589,25.049901,305080.6434
松135公,松山區,安平里,寶清公園,寶清街85號對面,2970,121.56764,25.052124,307274.2331
松134公,松山區,安平里,西松公園,三民路、健康路口,2873,121.564127,25.053686,306919.0282
松133公,松山區,安平里,健康公園,健康路、松山變電所旁,1957,121.568873,25.054121,307397.7216
松131公,松山區,新東里,新東公園,民生東路5段、撫遠街口,3180,121.568367,25.058797,307344.4419
松128公,松山區,東光里,長壽公園,健康路174號旁,3505,121.558924,25.053366,306394.2177
松127公,松山區,中華里,中華公園,健康路15巷口,2000,121.544274,25.055354,305744.1093
松126公,松山區,龍田里,婦聯公園,延壽街330巷20弄,5080,121.559734,25.054694,306475.2976
松119公,松山區,東榮里,富錦一號公園,民生東路5段85號旁,2430,121.55903,25.058893,306402.2984
松118公,松山區,東榮里,富錦二號公園,民生東路5段69巷2弄27號旁,2340,121.559624,25.059613,306461.9616
松117公,松山區,東榮里,新中公園,新中街、富錦街口,3170,121.560868,25.06052,306587.0629
松106公,松山區,精忠里,精忠公園,民生東路4段97巷6弄2號旁,720,121.552165,25.059342,305709.5119
